,gene,Level4,source,Phenotypes
528,CHCHD10,Mitochondrial disorders,gene_panel_112,"?Myopathy, isolated mitochondrial, autosomal dominant, 616209;Frontotemporal dementia and/or amyotrophic lateral sclerosis 2;Spinal muscular atrophy, Jokela type"
529,CLPB,Mitochondrial disorders,gene_panel_112,"3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, OMIM:616271"
530,CLPP,Mitochondrial disorders,gene_panel_112,"Perrault syndrome 3, 614129"
531,COA6,Mitochondrial disorders,gene_panel_112,"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4 616501"
532,COA7,Mitochondrial disorders,gene_panel_112,"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 OMIM:618387;spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 MONDO:0020770"
533,COQ2,Mitochondrial disorders,gene_panel_112,"Coenzyme Q10 deficiency, primary, 1, OMIM:607426"
534,COQ4,Mitochondrial disorders,gene_panel_112,"Coenzyme Q10 deficiency, primary, 7;Disorders of ubiquinone metabolism and biosynthesis"
535,COQ6,Mitochondrial disorders,gene_panel_112,"Steroid-resistant nephrotic syndrome;Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 6, 614650"
536,COQ7,Mitochondrial disorders,gene_panel_112,"?Coenzyme Q10 deficiency, primary, 8 616733;complex multisystem presentation"
537,COQ8A,Mitochondrial disorders,gene_panel_112,"Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 4, 612016;Coenzyme Q10 deficiency"
538,COQ8B,Mitochondrial disorders,gene_panel_112,"Nephrotic syndrome, type 9"
539,COQ9,Mitochondrial disorders,gene_panel_112,"Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 5, 614654;Coenzyme Q10 deficiency"
540,COX14,Mitochondrial disorders,gene_panel_112,"Isolated complex IV deficiency;Mitochondrial complex IV deficiency, 220110"
541,COX20,Mitochondrial disorders,gene_panel_112,"Isolated complex IV deficiency;Mitochondrial complex IV deficiency, 220110"
542,COX6A1,Mitochondrial disorders,gene_panel_112,"Charcot-Marie-Tooth disease, recessive intermediate D, 616039"
543,COX7B,Mitochondrial disorders,gene_panel_112,"Isolated complex IV deficiency;Aplasia cutis congenita, reticulolinear, with microcephaly, facial dysmorphism and other congenital anomalies, 300887;MICROPHTHALMIA WITH LINEAR SKIN LESIONS;Linear skin defects with multiple congenital anomalies"
544,CYC1,Mitochondrial disorders,gene_panel_112,"Isolated complex III deficiency;Mitochondrial complex III deficiency, nuclear type 6, 615453"
545,DARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, 611105"
546,DLAT,Mitochondrial disorders,gene_panel_112,"Pyruvate dehydrogenase E2 deficiency, 245348"
547,DLD,Mitochondrial disorders,gene_panel_112,"Dihydrolipoamide dehydrogenase deficiency, 246900;Leigh syndrome"
548,DNA2,Mitochondrial disorders,gene_panel_112,"Disorders of mitochondrial DNA maintenance and integrity;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 6;615156"
549,DNAJC19,Mitochondrial disorders,gene_panel_112,"Disorders of the mitochondrial import system;3-methylglutaconic aciduria, type V, 610198"
550,DNM1L,Mitochondrial disorders,gene_panel_112,"Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission, 614388"
551,DNM2,Mitochondrial disorders,gene_panel_112,"Centronuclear myopathy 1, 160150;Charcot-Marie-Tooth disease, axonal type 2M, 606482;Charcot-Marie-Tooth disease, dominant intermediate B, 606482"
552,EARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 12, 614924"
553,ECHS1,Mitochondrial disorders,gene_panel_112,Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency
554,ELAC2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 17, 615440;infantile hypertrophic cardiomyopathy, lactic acidosis, and isolated complex I deficiency"
555,ETFDH,Mitochondrial disorders,gene_panel_112,Disorders of ubiquinone metabolism and biosynthesis;GLUTARIC ACIDURIA TYPE 2C;Glutaric acidemia IIC
556,ETHE1,Mitochondrial disorders,gene_panel_112,"Isolated complex IV deficiency;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Ethylmalonic encephalopathy, 602473;Ethylmalonic encephalopathy"
557,FARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 14, 614946"
558,FBXL4,Mitochondrial disorders,gene_panel_112,Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type) OMIM:615471;mitochondrial DNA depletion syndrome 13 MONDO:0014198
559,FDX2,Mitochondrial disorders,gene_panel_112,"Mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy OMIM:251900;mitochondrial myopathy, episodic, with optic atrophy and reversible leukoencephalopathy MONDO:0020714"
560,FDXR,Mitochondrial disorders,gene_panel_112,Auditory neuropathy and optic atrophy 617717
561,FH,Mitochondrial disorders,gene_panel_112,"Fumarase deficiency, 606812"
562,FLAD1,Mitochondrial disorders,gene_panel_112,Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Multiple acyl-CoA dehydrogenase deficiencies (MADDs)
563,GARS,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Charcot-Marie-Tooth disease, type 2D;Neuropathy, distal hereditary motor, type VA"
564,GDAP1,Mitochondrial disorders,gene_panel_112,"Charcot-Marie-Tooth disease, axonal, type 2K, OMIM:607831;Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, OMIM:607706;Charcot-Marie-Tooth disease, recessive intermediate, A, OMIM:608340;Charcot-Marie-Tooth disease, type 4A, OMIM:214400"
565,GFER,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Disorders of the mitochondrial import system;Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay,613076"
566,GFM1,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 1, 609060"
567,GFM2,Mitochondrial disorders,gene_panel_112,Early-onset neurological presentations of mitochondrial disease;Multiple respiratory chain complex deficiencies (disorders of protein synthesis)
568,GLRX5,Mitochondrial disorders,gene_panel_112,"Disorders of iron homeostasis;Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive, 205950"
569,GTPBP3,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);mitochondrial translation defect associated with hypertrophic cardiomyopathy, lactic acidosis and encephalopathy;Combined oxidative phosphorylation deficiency 23"
570,HARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Perrault syndrome 2, 614926"
571,HCCS,Mitochondrial disorders,gene_panel_112,"Microphthalmia, syndromic 7, 309801;Linear skin defects with multiple congenital anomalies 1"
572,HIBCH,Mitochondrial disorders,gene_panel_112,"3-hydroxyisobutryl-CoA hydrolase deficiency, 250620;HIBCH deficiency"
573,HLCS,Mitochondrial disorders,gene_panel_112,"Holocarboxylase synthetase deficiency, 253270"
574,HSD17B10,Mitochondrial disorders,gene_panel_112,HSD10 mitochondrial disease 300438
575,HSPD1,Mitochondrial disorders,gene_panel_112,"Spastic paraplegia 13, autosomal dominant, 605280;Leukodystrophy, hypomyelinating, 4, 612233"
576,HTRA2,Mitochondrial disorders,gene_panel_112,"3-methylglutaconic aciduria, type VIII	617248"
577,IARS2,Mitochondrial disorders,gene_panel_112,"?Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia 616007"
578,IBA57,Mitochondrial disorders,gene_panel_112,"Multiple mitochondrial dysfunctions syndrome 3, OMIM:615330;?Spastic paraplegia 74, autosomal recessive, OMIM:616451"
579,ISCA1,Mitochondrial disorders,gene_panel_112,"MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 5, 617613"
580,ISCA2,Mitochondrial disorders,gene_panel_112,infantile neurodegenerative mitochondrial disorder
581,ISCU,Mitochondrial disorders,gene_panel_112,"Disorders of iron homeostasis;Myopathy with lactic acidosis, hereditary, 255125"
582,KARS,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Charcot-Marie-Tooth disease, recessive intermediate, B, 613641;Deafness, autosomal recessive 89, 613916"
583,LARS2,Mitochondrial disorders,gene_panel_112,"Perrault syndrome 4, OMIM:615300;Hydrops, lactic acidosis, and sideroblastic anemia, OMIM:617021;Required for mitochondrial gene expression (Mitochondrial respiratory chain disorders (caused by nuclear variants only);Multiple respiratory chain complex deficiencies (disorders of protein synthesis"
584,LIAS,Mitochondrial disorders,gene_panel_112,"Pyruvate dehydrogenase lipoic acid synthetase deficiency, 614462"
585,LIPT1,Mitochondrial disorders,gene_panel_112,Lipoyltransferase 1 deficiency
586,LIPT2,Mitochondrial disorders,gene_panel_112,"Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities, 617668"
587,LONP1,Mitochondrial disorders,gene_panel_112,"CODAS (cerebral, ocular, dental, auricular and skeletal) syndrome (MIM 600373)"
588,LRPPRC,Mitochondrial disorders,gene_panel_112,"Isolated complex IV deficiency;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Leigh syndrome, French-Canadian type, 220111;Mitochondrial Diseases"
589,LYRM7,Mitochondrial disorders,gene_panel_112,"Isolated complex III deficiency;Mitochondrial complex III deficiency, nuclear type 8;615838;leukoencephalopathy and complex III deficiency;severe encephalopathy, lactic acidosis and profound, isolated cIII deficiency in skeletal muscle"
590,MARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Spastic Ataxia 13, autosomal recessive, 611390;?Combined oxidative phosphorylation deficiency 25"
591,MDH2,Mitochondrial disorders,gene_panel_112,"Epileptic encephalopathy, early infantile, 51	617339"
592,MECR,Mitochondrial disorders,gene_panel_112,"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities 617282"
593,MFF,Mitochondrial disorders,gene_panel_112,"Encephalopathy due to defective mitochondrial and peroxisomal fission 2	617086"
594,MFN2,Mitochondrial disorders,gene_panel_112,"Disorders of mitochondrial DNA maintenance and integrity;Charcot-Marie-Tooth disease, type 2A2, 609260;Hereditary motor and sensory neuropathy VI, 601152"
595,MGME1,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Disorders of mitochondrial DNA maintenance and integrity;Mitochondrial DNA depletion syndrome 11, 615084"
596,MICU1,Mitochondrial disorders,gene_panel_112,Myopathy with extrapyramidal signs 615673
597,MIPEP,Mitochondrial disorders,gene_panel_112,"Combined oxidative phosphorylation deficiency 31, 617228"
598,MPC1,Mitochondrial disorders,gene_panel_112,"Mitochondrial pyruvate carrier deficiency, 614741"
599,MRPL3,Mitochondrial disorders,gene_panel_112,"Combined oxidative phosphorylation deficiency 9, 614582"
600,MRPL44,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);?Combined oxidative phosphorylation deficiency 16, 615395"
601,MRPS2,Mitochondrial disorders,gene_panel_112,Combined oxidative phosphorylation deficiency 36 617950
602,MRPS22,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 5, 611719"
603,MRPS34,Mitochondrial disorders,gene_panel_112,Combined oxidative phosphorylation deficiency 32 617664
604,MSTO1,Mitochondrial disorders,gene_panel_112,"Myopathy, mitochondrial, and ataxia OMIM:617675;mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome MONDO:0044714"
605,MT-ATP6,Mitochondrial disorders,gene_panel_112,NA
606,MT-ATP8,Mitochondrial disorders,gene_panel_112,"CARDIOMYOPATHY, INFANTILE HYPERTROPHIC;CARDIOMYOPATHY, APICAL HYPERTROPHIC, AND NEUROPATHY;BRAIN PSEUDOATROPHY, REVERSIBLE, VALPROATE-INDUCED, SUSCEPTIBILITY TO"
607,MT-CO1,Mitochondrial disorders,gene_panel_112,"LEBER OPTIC ATROPHY;SIDEROBLASTIC ANEMIA, ACQUIRED IDIOPATHIC;CYTOCHROME c OXIDASE DEFICIENCY;MYOGLOBINURIA, RECURRENT;CYTOCHROME c OXIDASE I DEFICIENCY"
608,MT-CO2,Mitochondrial disorders,gene_panel_112,CYTOCHROME c OXIDASE DEFICIENCY
609,MT-CO3,Mitochondrial disorders,gene_panel_112,NA
610,MT-CYB,Mitochondrial disorders,gene_panel_112,"LEBER OPTIC ATROPHY;ENCEPHALOMYOPATHY, MITOCHONDRIAL;MULTISYSTEM DISORDER;EXERCISE INTOLERANCE;CARDIOMYOPATHY, INFANTILE HISTIOCYTOID;EXERCISE INTOLERANCE, CARDIOMYOPATHY, AND SEPTOOPTIC DYSPLASIA;PARKINSONISM/MELAS OVERLAP SYNDROME"
611,MTFMT,Mitochondrial disorders,gene_panel_112,"Combined oxidative phosphorylation deficiency 15 OMIM:614947;combined oxidative phosphorylation defect type 15 MONDO:0013987;Mitochondrial complex I deficiency, nuclear type 27 OMIM:618248;mitochondrial complex 1 deficiency, nuclear type 27 MONDO:0032631"
612,MT-ND1,Mitochondrial disorders,gene_panel_112,"LEBER OPTIC ATROPHY;SUDDEN INFANT DEATH SYNDROME;MITOCHONDRIAL COMPLEX I DEFICIENCY;DYSTONIA, ADULT-ONSET;MELAS SYNDROME;DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL"
613,MT-ND2,Mitochondrial disorders,gene_panel_112,LEBER OPTIC ATROPHY;MITOCHONDRIAL COMPLEX I DEFICIENCY;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
614,MT-ND3,Mitochondrial disorders,gene_panel_112,MITOCHONDRIAL COMPLEX I DEFICIENCY;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
615,MT-ND4,Mitochondrial disorders,gene_panel_112,LEBER OPTIC ATROPHY;MELAS SYNDROME;LEBER OPTIC ATROPHY AND DYSTONIA;MITOCHONDRIAL COMPLEX I DEFICIENCY
616,MT-ND4L,Mitochondrial disorders,gene_panel_112,LEBER OPTIC ATROPHY
617,MT-ND5,Mitochondrial disorders,gene_panel_112,LEBER OPTIC ATROPHY;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY;MELAS SYNDROME;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY;MERRF SYNDROME
618,MT-ND6,Mitochondrial disorders,gene_panel_112,"LEBER OPTIC ATROPHY;LEBER OPTIC ATROPHY AND DYSTONIA;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY;MELAS SYNDROME;STRIATAL NECROSIS, BILATERAL, WITH DYSTONIA"
619,MTO1,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 10, 614702;infantile hypertrophic cardiomyopathy and lactic acidosis."
620,MTPAP,Mitochondrial disorders,gene_panel_112,"?Spastic ataxia 4, autosomal recessive 613672"
621,MT-RNR1,Mitochondrial disorders,gene_panel_112,"DEAFNESS, AMINOGLYCOSIDE-INDUCED;DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL;CARDIOMYOPATHY, RESTRICTIVE;AUDITORY NEUROPATHY"
622,MT-TA,Mitochondrial disorders,gene_panel_112,MYOTONIC DYSTROPHY-LIKE MYOPATHY;MITOCHONDRIAL MYOPATHY
623,MT-TC,Mitochondrial disorders,gene_panel_112,"MELAS SYNDROME;DYSTONIA, MITOCHONDRIAL"
624,MT-TD,Mitochondrial disorders,gene_panel_112,"MITOCHONDRIAL MYOPATHY, ISOLATED"
625,MT-TE,Mitochondrial disorders,gene_panel_112,"MYOPATHY, MITOCHONDRIAL, WITH DIABETES MELLITUS;DIABETES AND DEAFNESS, MATERNALLY INHERITED;MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT"
626,MT-TF,Mitochondrial disorders,gene_panel_112,NA
627,MT-TG,Mitochondrial disorders,gene_panel_112,NA
628,MT-TH,Mitochondrial disorders,gene_panel_112,NA
629,MT-TI,Mitochondrial disorders,gene_panel_112,NA
630,MT-TK,Mitochondrial disorders,gene_panel_112,NA
631,MT-TL1,Mitochondrial disorders,gene_panel_112,NA
632,MT-TL2,Mitochondrial disorders,gene_panel_112,NA
633,MT-TM,Mitochondrial disorders,gene_panel_112,NA
634,MT-TN,Mitochondrial disorders,gene_panel_112,NA
635,MT-TP,Mitochondrial disorders,gene_panel_112,NA
636,MT-TQ,Mitochondrial disorders,gene_panel_112,NA
637,MT-TR,Mitochondrial disorders,gene_panel_112,NA
638,MT-TS1,Mitochondrial disorders,gene_panel_112,NA
639,MT-TS2,Mitochondrial disorders,gene_panel_112,NA
640,MT-TV,Mitochondrial disorders,gene_panel_112,NA
641,MT-TW,Mitochondrial disorders,gene_panel_112,NA
642,MT-TY,Mitochondrial disorders,gene_panel_112,NA
643,NADK2,Mitochondrial disorders,gene_panel_112,"?2,4-dienoyl-CoA reductase deficiency 616034"
644,NARS2,Mitochondrial disorders,gene_panel_112,Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 24
645,NAXE,Mitochondrial disorders,gene_panel_112,"Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, OMIM:617186"
646,NDUFA1,Mitochondrial disorders,gene_panel_112,"Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Mitochondrial Diseases"
647,NDUFA4,Mitochondrial disorders,gene_panel_112,Isolated complex IV deficiency;No OMIM phenotype
648,NDUFA6,Mitochondrial disorders,gene_panel_112,"Mitochondrial complex I deficiency, nuclear type 33, 618253"
649,NDUFA9,Mitochondrial disorders,gene_panel_112,"Mitochondrial complex I deficiency, nuclear type 26, 618247"
650,NDUFAF2,Mitochondrial disorders,gene_panel_112,"Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Leigh syndrome, 256000;Mitochondrial Respiratory Chain Complex I Deficiency"
651,NDUFAF5,Mitochondrial disorders,gene_panel_112,"Isolated complex I deficiency;Mitochondrial complex 1 deficiency, 252010;Mitochondrial Diseases"
652,NDUFAF6,Mitochondrial disorders,gene_panel_112,"Isolated complex I deficiency;Leigh syndrome due to mitochondrial complex I deficiency, 256000"
653,NDUFAF8,Mitochondrial disorders,gene_panel_112,"Mitochondrial complex I deficiency, nuclear type 34, OMIM:618776"
654,NDUFB11,Mitochondrial disorders,gene_panel_112,Isolated complex I deficiency;Linear skin defects with multiple congenital anomalies 3;histiocytoid cardiomyopathy;microphthalmia with linear skin defects syndrome
655,NDUFB3,Mitochondrial disorders,gene_panel_112,"Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010"
656,NDUFB8,Mitochondrial disorders,gene_panel_112,"Mitochondrial complex I deficiency, nuclear type 32, 618252"
657,NDUFV2,Mitochondrial disorders,gene_panel_112,"Isolated complex I deficiency;Mitochondrial complex I deficiency, 252010;Mitochondrial Respiratory Chain Complex I Deficiency"
658,NFU1,Mitochondrial disorders,gene_panel_112,"Multiple mitochondrial dysfunctions syndrome 1, OMIM:605711"
659,OPA1,Mitochondrial disorders,gene_panel_112,"?Mitochondrial DNA depletion syndrome 14 (encephalocardiomyopathic type) OMIM:616896;mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type) MONDO:0014820;Optic atrophy 1 OMIM:165500;autosomal dominant optic atrophy, classic form MONDO:0008134;Optic atrophy plus syndrome OMIM:125250;optic atrophy with or without deafness, ophthalmoplegia, myopathy, ataxia, and neuropathy MONDO:0007429;Behr syndrome OMIM:210000;Behr syndrome MONDO:0008858"
660,OPA3,Mitochondrial disorders,gene_panel_112,"3-methylglutaconic aciduria, type III, 258501Optic atrophy 3 with cataract, 165300"
661,PARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Alpers syndrome;Epileptic encephalopathy, early infantile, 75, 618437"
662,PC,Mitochondrial disorders,gene_panel_112,Pyruvate carboxylase deficiency
663,PDHA1,Mitochondrial disorders,gene_panel_112,"Pyruvate dehydrogenase E1-alpha deficiency, 312170;Leigh syndrome, X-linked, 308930"
664,PDHB,Mitochondrial disorders,gene_panel_112,"Pyruvate dehydrogenase E1-beta deficiency, 614111"
665,PDHX,Mitochondrial disorders,gene_panel_112,Lacticacidemia due to PDX1 deficiency
666,PDP1,Mitochondrial disorders,gene_panel_112,"Pyruvate dehydrogenase phosphatase deficiency, 608782"
667,PDSS1,Mitochondrial disorders,gene_panel_112,"Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 2, 614651"
668,PDSS2,Mitochondrial disorders,gene_panel_112,"Disorders of ubiquinone metabolism and biosynthesis;Coenzyme Q10 deficiency, primary, 3, 614652"
669,PET100,Mitochondrial disorders,gene_panel_112,"Isolated complex IV deficiency;Mitochondrial complex IV deficiency, 220110;Leigh syndrome"
670,PMPCA,Mitochondrial disorders,gene_panel_112,non-progressive cerebellar ataxia;slowly progressive cerebellar ataxia
671,PMPCB,Mitochondrial disorders,gene_panel_112,Multiple mitochondrial dysfunctions syndrome 6 OMIM:617954;multiple mitochondrial dysfunctions syndrome 6 MONDO:0054785
672,PNPLA8,Mitochondrial disorders,gene_panel_112,"?Mitochondrial myopathy with lactic acidosis, 251950"
673,PNPT1,Mitochondrial disorders,gene_panel_112,"Combined oxidative phosphorylation deficiency 13, OMIM:614932;Deafness, autosomal recessive 70, OMIM:614934;Disorders of mitochondrial protein import (Mitochondrial respiratory chain disorders (caused by nuclear variants only));Multiple respiratory chain complex deficiencies (disorders of protein synthesis)"
674,POLG,Mitochondrial disorders,gene_panel_112,"Progressive external ophthalmoplegia, autosomal recessive, 258450;Progressive external ophthalmoplegia, autosomal dominant, 157640;Mitochondrial DNA depletion syndrome 4B (MNGIE type), 613662;Mitochondrial DNA depletion syndrome 4A (Alpers type), 203700;Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE), 607459;Mitochondrial DNA Depletion Syndrome;Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions"
675,PPA2,Mitochondrial disorders,gene_panel_112,NA
676,PUS1,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Mitochondrial myopathy and sideroblastic anemia 1, 600462"
677,QRSL1,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 40, 618835"
678,RARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Pontocerebellar hypoplasia, type 6, 611523"
679,RMND1,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 11, 614922;Encephalopathy associated with multiple oxidative phosphorylation complex deficiencies and a mitochondrial translation defect"
680,RNASEH1,Mitochondrial disorders,gene_panel_112,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2"
681,RTN4IP1,Mitochondrial disorders,gene_panel_112,"Optic atrophy 10 with or without ataxia, mental retardation, and seizures 616732"
682,SACS,Mitochondrial disorders,gene_panel_112,"Autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS);Spastic ataxia, Charlevoix-Saguenay type"
683,SARS2,Mitochondrial disorders,gene_panel_112,"Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis, 613845"
684,SDHA,Mitochondrial disorders,gene_panel_112,"Isolated complex II deficiency;Leigh syndrome, 256000;Mitochondrial respiratory chain complex II deficiency, 252011;Cardiomyopathy, dilated, 1GG, 613642;Paragangliomas 5, 614165;Mitochondrial Respiratory Chain Complex II Deficiency"
685,SDHAF1,Mitochondrial disorders,gene_panel_112,"Mitochondrial complex II deficiency, 252011"
686,SDHD,Mitochondrial disorders,gene_panel_112,Mitochondrial respiratory chain complex II deficiency 252011
